Unicode	Sound	syllabic	stress	long	consonantal	sonorant	continuant	delayed release	approximant	tap	trill	nasal	voice	spread gl	constr gl	labial	round	labiodental	coronal	anterior	distributed	strident	lateral	dorsal	high	low	front	back	tense
ɒ	Vow-27	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	-	+	-	+	0
ɑ	Vow-26	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	+	-	+	0
ɶ	Vow-25	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	-	+	+	-	0
a	Vow-24	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	+	-	-	0
ӕ	Vow-22	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	+	+	-	0
ʌ	Vow-20	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	-	+	-
ɔ	Vow-21	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	-	-	-	+	-
o	Vow-14	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	-	-	-	+	+
ɤ	Vow-13	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	-	+	+
ɘ	Vow	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	-	-	+
œ	Vow-17	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	-	-	+	-	-
ə	Vow-15	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	-	-	-
e	Vow-09	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	+	-	+
ɞ	Vow	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	-	-	-	-	-
ø	Vow-10	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	-	-	+	-	+
ɛ	Vow-16	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	-	-	+	-	-
ɵ	Vow-12	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	-	-	-	-	+
ɯ	Vow-04	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	-	+	+
u	Vow-05	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	+	-	-	+	+
ʊ	Vow-08	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	+	-	-	+	-
ɨ	Vow-02	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	-	-	+
ʉ	Vow-03	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	+	-	-	-	+
y	Vow-01	+	-	-	-	+	+	0	+	-	-	-	+	-	-	+	+	-	-	0	0	0	-	+	+	-	+	-	+
i	Vow-00	+	-	-	-	+	+	0	+	-	-	-	+	-	-	-	-	-	-	0	0	0	-	+	+	-	+	-	+
