name	syllabic	stress	long	consonantal	sonorant	continuant	delayed release	approximant	tap	trill	nasal	voice	spread gl	constr gl	labial	round	labiodental	coronal	anterior	distributed	strident	lateral	dorsal	high	low	front	back	tense
ɒ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	false	true	false	true	0
ɑ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	false	true	false	true	0
ɶ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	false	true	true	false	0
a	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	false	true	false	false	0
ӕ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	false	true	true	false	0
ʌ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	false	false	false	true	false
ɔ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	false	false	false	true	false
o	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	false	false	false	true	true
ɤ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	false	false	false	true	true
ɘ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	false	false	false	false	true
œ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	false	false	true	false	false
ə	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	false	false	false	false	false
e	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	false	false	true	false	true
ɞ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	false	false	false	false	false
ø	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	false	false	true	false	true
ɛ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	false	false	true	false	false
ɵ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	false	false	false	false	true
ɯ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	true	false	false	true	true
u	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	true	false	false	true	true
ʊ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	true	false	false	true	false
ɨ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	true	false	false	false	true
ʉ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	true	false	false	false	true
y	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	true	false	true	false	true
i	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	true	false	true	false	true
ʏ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	true	true	false	false	0	0	0	false	true	true	false	true	false	false
ɪ	true	false	false	false	true	true	0	true	false	false	false	true	false	false	false	false	false	false	0	0	0	false	true	true	false	true	false	false
ɫ	false	false	false	true	true	true	0	true	false	false	false	true	false	false	false	false	false	true	true	false	false	true	true	false	false	false	true	0
